Flow,De walt sander,Real Power Tool Shop,Pneumatic Air Ratchet,Presto Popcorn Popper,Salton Sandwich Maker,Krups Cheese Grater,Dazey Fruit & Veg. Stripper-RBS,Super Maxx Ball Shooter-RBS,Salon Series 795 Hair Dryer,Presto Salad Shooter,Toy Solar Car,Hair Dryer,Wet/Dry Vacuum,74 Chevy Tailgate Support-RBS,Cadillac Slide-Out Visor-RBS,SKIL Power Screwdriver-RBS,Durabuilt Hand Vacuum,B&D Weed Trimmer,Wagner Paint Roller,Hamilton  Elec. Mixer,OverRider Toy Car,Horseman Swimming Toy,Mattel Bubble Extinguisher,Regal Ware Electric Knife,Bumble Ball Toy,B&D Cordless Screwdriver,Takka-1000 Pasta Machine,Upright Vacuum Cleaner,WestBend Food Processor,Black & Decker Sander,West Bend Mixer,Green Eagle Putting Cup,F.Price Remote Control Car,Ertl Bumble Ball,Fisher Price Bubble Mower,Electric Can Opener,Portable Fan,Bubble Machine,B&D Elec. Polisher,Crossfire Game,Black & Decker Elec. Knife,Dremel Electric Engraver-RBS,Moen Kitchen Water Faucet,Battery Op. Toothbrush,Humidifier,Electric Pencil Sharpener,Mini Pro Hair Dryer,West Bend Iced Tea Maker-RBS,Mr. Coffee Iced Tea Maker-RBS,Mr. Coffee Coffee Maker-RBS,Radio Controlled Truck,Braun Hand Blender,Paint Sprayer,Bissel Hand Vacuum,Air Compressor 22,Corvette Vac 23,Power Caulk 20,Stamp Machine 17,bicycle brake 18,Tape Rewinder 22,Hot Glue Gun 21
Toy Solar Car,0.896551724137931,0.8235294117647058,0.84,0.8636363636363636,0.8518518518518519,0.8333333333333334,0.8518518518518519,1.0,0.8846153846153846,0.7916666666666666,0.0,0.8333333333333334,0.8461538461538461,0.9583333333333334,0.9523809523809523,0.8461538461538461,0.9333333333333333,0.9090909090909091,0.875,0.8095238095238095,0.6666666666666666,0.8095238095238095,0.9166666666666666,0.76,0.7222222222222222,0.8571428571428571,0.84,0.7894736842105263,0.85,0.8461538461538461,0.782608695652174,0.9130434782608695,0.75,0.8636363636363636,0.8421052631578947,0.88,0.8260869565217391,0.8636363636363636,0.8461538461538461,0.8571428571428571,0.782608695652174,0.9583333333333334,1.0,0.76,0.896551724137931,0.6190476190476191,0.84,0.9714285714285714,0.9705882352941176,0.9705882352941176,0.9130434782608695,0.8095238095238095,0.9285714285714286,0.9166666666666666,0.8518518518518519,0.9333333333333333,0.9166666666666666,1.0,0.9130434782608695,0.8695652173913043,0.967741935483871
Hair Dryer,0.696969696969697,0.8518518518518519,0.7878787878787878,0.6666666666666666,0.7272727272727273,0.8529411764705882,0.7647058823529411,0.8888888888888888,0.4,0.8235294117647058,0.8333333333333334,0.0,0.7941176470588235,0.9411764705882353,0.9,0.7941176470588235,0.7352941176470589,0.8709677419354839,0.8823529411764706,0.7586206896551724,0.75,0.8387096774193549,0.84375,0.7272727272727273,0.9032258064516129,0.7714285714285715,0.75,0.6923076923076923,0.8666666666666667,0.71875,0.7,0.8387096774193549,0.71875,0.8387096774193549,0.9,0.8181818181818182,0.6428571428571429,0.8387096774193549,0.71875,0.8709677419354839,0.7,0.8,0.896551724137931,0.6875,0.65625,0.8235294117647058,0.3333333333333333,0.825,0.8205128205128205,0.8205128205128205,0.8,0.6153846153846154,0.8611111111111112,0.6785714285714286,0.6451612903225806,0.8055555555555556,0.84375,1.0,0.9411764705882353,0.9117647058823529,0.8378378378378378
Wet/Dry Vacuum,0.6896551724137931,0.8695652173913043,0.8333333333333334,0.7083333333333334,0.7666666666666667,0.6923076923076923,0.7666666666666667,0.8709677419354839,0.7931034482758621,0.7037037037037037,0.8461538461538461,0.7941176470588235,0.0,0.9310344827586207,0.9629629629629629,0.8,0.5384615384615384,0.6956521739130435,0.7777777777777778,0.8076923076923077,0.8888888888888888,0.8076923076923077,0.7692307692307693,0.7666666666666667,0.84,0.8125,0.8333333333333334,0.6818181818181818,0.7916666666666666,0.7586206896551724,0.7857142857142857,0.76,0.8387096774193549,0.8076923076923077,0.8333333333333334,0.7407407407407407,0.7777777777777778,0.8076923076923077,0.8,0.8,0.6923076923076923,0.8518518518518519,0.9615384615384616,0.7666666666666667,0.7741935483870968,0.7037037037037037,0.7037037037037037,0.7647058823529411,0.7941176470588235,0.7575757575757576,0.8076923076923077,0.8518518518518519,0.8,0.6666666666666666,0.6785714285714286,0.7741935483870968,0.8148148148148148,0.8620689655172413,0.9310344827586207,0.896551724137931,0.8125
74 Chevy Tailgate Support-RBS,0.9,0.95,0.8461538461538461,0.96,0.9333333333333333,0.84,0.8148148148148148,0.9285714285714286,0.8461538461538461,0.8888888888888888,0.9583333333333334,0.9411764705882353,0.9310344827586207,0.0,0.5625,0.76,0.8620689655172413,0.8095238095238095,0.9230769230769231,0.9166666666666666,0.9130434782608695,0.9166666666666666,0.9615384615384616,0.8571428571428571,0.8571428571428571,0.7307692307692307,0.9285714285714286,0.9565217391304348,0.9565217391304348,0.8928571428571429,0.9642857142857143,0.9166666666666666,0.9310344827586207,0.8695652173913043,0.9047619047619048,0.7916666666666666,0.9629629629629629,0.9166666666666666,0.8518518518518519,0.8636363636363636,0.84,0.8695652173913043,0.9,0.8148148148148148,0.9354838709677419,0.8461538461538461,0.8888888888888888,0.9722222222222222,0.9714285714285714,0.9714285714285714,0.9166666666666666,0.8695652173913043,0.9310344827586207,0.875,0.967741935483871,0.9,0.9615384615384616,0.9230769230769231,0.96,0.875,0.9354838709677419
Cadillac Slide-Out Visor-RBS,0.8888888888888888,1.0,0.92,0.9545454545454546,0.8846153846153846,0.8695652173913043,0.84,0.92,0.875,0.92,0.9523809523809523,0.9,0.9629629629629629,0.5625,0.0,0.88,0.8888888888888888,0.9,0.9583333333333334,0.9545454545454546,0.8421052631578947,1.0,0.9565217391304348,0.84,0.8947368421052632,0.8,0.9615384615384616,0.95,1.0,0.88,0.9166666666666666,0.9047619047619048,0.9230769230769231,1.0,0.9473684210526315,0.8695652173913043,0.9130434782608695,0.9545454545454546,0.88,0.8421052631578947,0.8695652173913043,0.85,0.8823529411764706,0.84,0.9285714285714286,0.875,0.92,0.9696969696969697,0.96875,0.96875,0.9047619047619048,0.85,0.9629629629629629,0.8571428571428571,0.9642857142857143,0.9285714285714286,0.9565217391304348,0.9583333333333334,0.9545454545454546,0.9565217391304348,0.9285714285714286
SKIL Power Screwdriver-RBS,0.7333333333333333,0.7,0.75,0.8518518518518519,0.7666666666666667,0.5217391304347826,0.6785714285714286,0.8709677419354839,0.75,0.6538461538461539,0.8461538461538461,0.7941176470588235,0.8,0.76,0.88,0.0,0.6428571428571429,0.5714285714285714,0.8214285714285714,0.6521739130434783,0.75,0.76,0.967741935483871,0.7241379310344828,0.7391304347826086,0.19047619047619047,0.75,0.7916666666666666,0.7916666666666666,0.8,0.7857142857142857,0.8928571428571429,0.7142857142857143,0.6521739130434783,0.88,0.64,0.9,0.8518518518518519,0.6153846153846154,0.6956521739130435,0.6923076923076923,0.7083333333333334,0.92,0.5769230769230769,0.8125,0.6538461538461539,0.7931034482758621,0.8333333333333334,0.8285714285714286,0.8285714285714286,0.7083333333333334,0.6521739130434783,0.9090909090909091,0.7692307692307693,0.8064516129032258,0.8125,0.7692307692307693,0.8214285714285714,0.9310344827586207,0.8148148148148148,0.8484848484848485
Durabuilt Hand Vacuum,0.46153846153846156,0.8333333333333334,0.84375,0.7307692307692307,0.7419354838709677,0.6153846153846154,0.7,0.7666666666666667,0.7241379310344828,0.6785714285714286,0.9333333333333333,0.7352941176470589,0.5384615384615384,0.8620689655172413,0.8888888888888888,0.6428571428571429,0.0,0.6666666666666666,0.8333333333333334,0.7777777777777778,0.8571428571428571,0.7777777777777778,0.8275862068965517,0.7419354838709677,0.8076923076923077,0.6206896551724138,0.7241379310344828,0.7083333333333334,0.76,0.5925925925925926,0.7586206896551724,0.7777777777777778,0.7741935483870968,0.68,0.8461538461538461,0.6666666666666666,0.75,0.8214285714285714,0.6428571428571429,0.7692307692307693,0.6666666666666666,0.7307692307692307,0.9259259259259259,0.6551724137931034,0.75,0.7666666666666667,0.6785714285714286,0.7428571428571429,0.7714285714285715,0.7352941176470589,0.7307692307692307,0.7307692307692307,0.8484848484848485,0.5833333333333334,0.7,0.7096774193548387,0.6923076923076923,0.8709677419354839,0.96875,0.9032258064516129,0.8571428571428571
B&D Weed Trimmer,0.6666666666666666,0.6666666666666666,0.84,0.75,0.76,0.5263157894736842,0.6521739130434783,0.8846153846153846,0.84,0.55,0.9090909090909091,0.8709677419354839,0.6956521739130435,0.8095238095238095,0.9,0.5714285714285714,0.6666666666666666,0.0,0.7727272727272727,0.6111111111111112,0.8,0.8095238095238095,0.9166666666666666,0.6521739130434783,0.85,0.6086956521739131,0.7391304347826086,0.7222222222222222,0.6470588235294118,0.6363636363636364,0.7272727272727273,0.8095238095238095,0.75,0.8095238095238095,0.8421052631578947,0.5263157894736842,0.875,0.8636363636363636,0.6363636363636364,0.8,0.6666666666666666,0.6842105263157895,0.95,0.6521739130434783,0.8571428571428571,0.6190476190476191,0.84,0.8,0.8333333333333334,0.7931034482758621,0.6842105263157895,0.75,0.8888888888888888,0.7619047619047619,0.76,0.7692307692307693,0.7619047619047619,0.8260869565217391,0.9130434782608695,0.7,0.8571428571428571
Wagner Paint Roller,0.8333333333333334,0.9047619047619048,0.8571428571428571,0.88,0.8666666666666667,0.8518518518518519,0.8275862068965517,0.896551724137931,0.8148148148148148,0.8148148148148148,0.875,0.8823529411764706,0.7777777777777778,0.9230769230769231,0.9583333333333334,0.8214285714285714,0.8333333333333334,0.7727272727272727,0.0,0.7272727272727273,0.875,0.6666666666666666,0.7391304347826086,0.7407407407407407,0.7619047619047619,0.8333333333333334,0.8148148148148148,0.8181818181818182,0.8181818181818182,0.8214285714285714,0.8518518518518519,0.88,0.68,0.8333333333333334,0.75,0.76,0.8888888888888888,0.6666666666666666,0.8214285714285714,0.8260869565217391,0.76,0.8333333333333334,0.8,0.6923076923076923,0.75,0.8571428571428571,0.8148148148148148,0.7419354838709677,0.6896551724137931,0.7333333333333333,0.782608695652174,0.782608695652174,0.5,0.84,0.8666666666666667,0.8333333333333334,0.7916666666666666,0.8461538461538461,0.9629629629629629,0.84,0.7931034482758621
Hamilton  Elec. Mixer,0.7307692307692307,0.7647058823529411,0.75,0.8181818181818182,0.72,0.6818181818181818,0.72,0.8461538461538461,0.6956521739130435,0.5714285714285714,0.8095238095238095,0.7586206896551724,0.8076923076923077,0.9166666666666666,0.9545454545454546,0.6521739130434783,0.7777777777777778,0.6111111111111112,0.7272727272727273,0.0,0.6111111111111112,0.7619047619047619,0.92,0.6086956521739131,0.8,0.68,0.5,0.6666666666666666,0.6666666666666666,0.76,0.6190476190476191,0.7,0.6521739130434783,0.8181818181818182,0.85,0.55,0.8333333333333334,0.8181818181818182,0.5238095238095238,0.75,0.6190476190476191,0.7,0.8421052631578947,0.6086956521739131,0.7777777777777778,0.6956521739130435,0.6956521739130435,0.8064516129032258,0.8,0.8,0.5555555555555556,0.47058823529411764,0.8518518518518519,0.875,0.7692307692307693,0.8620689655172413,0.7727272727272727,0.9230769230769231,0.8695652173913043,0.65,0.8214285714285714
