,Perpetuum FSH/C,Enocean Eco 100,Clarkson U prototype,Michigan U PFIG,U Texas prototype Induc Vib,Seiko Kinetic watch,AA battery harvester,Socket,Kinetic flashlight,MIDE Voiture,Bistable buckling harvester,Heel-impact shoe harvester,Innowattech road/rail,Piezo backpack straps,U Texas prototype Piezo Vib,WindTamer,Leviathan,Enviro Engergies,Four Seasons,Humdinger Wind Belt,Michigan U piezo flag,Nova Energy tuna turbine,Columbia Power Manta buoy,Wing Wave Generator,Solar heat engine w/ mirrors,Tracking system,Inflatable mat,Big Belly trash compactor,Transparent film on window,Seiko Solar watch,Seiko Thermic watch,Enocean ECT 310 Perpetuum,Micropelt TE-power probe,Micropelt TE-power ring,Micropelt STM-PEM,Solar powered Sterling engine,Solar/wind streetlamp,Kinesis wind/solar,Hymini wind/solar/crank
Bistable buckling harvester,43.416240484125595,86.69355721564415,81.74048831197148,41.52616583738248,73.07231536549602,160.13363907233685,105.75162485326223,112.51073226795441,133.10804311985407,30.800559774478636,0.0,113.0469191569159,40.92891006003135,67.42588552410388,90.62063618341054,170.89626961723187,138.6711396944752,113.6697392815092,89.19100140913845,87.64000570870557,90.02158149755607,170.89626961723187,90.22388238003877,119.02466742030067,98.22760978159226,113.50649241621743,144.8858497097403,178.05423742133158,80.17389111257029,140.6617103620299,189.65941983744625,80.76114295681253,136.70365701847447,109.46360071496206,86.69355721564415,170.14895172057632,148.69862106314312,201.5453938908954,223.39218705136847
Heel-impact shoe harvester,114.9151115299567,79.63010139231575,123.7756414385826,104.43910066226755,131.0410164351094,127.37714360386346,124.03723064277196,101.64208028199057,99.6365623676371,125.67833964590307,113.0469191569159,0.0,109.00453087465775,80.36439252104091,123.82537387138484,152.5293132725445,155.0866743414085,153.19267290701666,145.7793488817076,159.13887675453668,149.511719015232,152.52931327254453,141.51396745554203,149.511719015232,127.39354193445773,133.1002271866127,156.04211575518596,131.02446749628592,108.18379337286085,103.54844901477013,140.70041383165528,127.39084884066155,166.71370853256232,139.47365222904986,116.703608729732,200.15900323466414,204.89347122847917,170.65860927900073,188.55193098507112
Innowattech road/rail,70.71541857602156,94.6671231692803,96.31712037537952,59.14982049741512,85.75181985933672,164.56615022468668,131.84609430514158,127.93293994324044,136.82556898846033,64.7761724076741,40.92891006003135,109.00453087465775,0.0,67.96254789353037,95.3504683761739,178.86983557086796,146.64470564811126,141.1084914321721,115.73012098546812,106.86999696552357,109.25157275437408,178.86983557086796,107.62265172063475,122.12224997877537,96.5603492881475,106.05920670465434,159.4193183377791,187.93607401348726,85.09472292151702,140.4552249165637,194.70686502270425,97.34162094442206,144.67722297211063,117.43716666859818,94.6671231692803,185.5711593958623,174.84424333223967,210.52488619112927,237.45170118699934
Piezo backpack straps,99.99017042451742,91.96590738404372,124.31302525313345,84.11358940702382,112.71315828027431,97.80146814697596,122.58114171156352,87.96663461269144,69.82359557237262,91.27314787174659,67.42588552410388,80.36439252104091,67.96254789353037,0.0,127.35380704018824,180.39508816299852,148.1699582402418,138.94590338303829,113.56753293633429,134.8659018432775,137.247477632128,180.39508816299852,84.49179278435868,137.24747763212798,109.17085458228799,124.51563785047806,153.49592920825972,156.4246095623811,104.92685352854592,77.28257155161344,128.15060868285806,107.22360911515983,157.11887548421583,129.8788191807034,107.10877568138554,200.696387049215,184.382238260158,156.70251257651933,192.20617052231506
U Texas prototype Piezo Vib,100.12549801778243,130.3035263406922,56.87494962378307,58.494827091401405,29.768624347995527,139.82695440132568,75.86289879380041,143.59569374310092,126.68544904101797,69.95205885017073,90.62063618341054,123.82537387138484,95.3504683761739,127.35380704018824,0.0,184.3273108979224,165.74773673635175,159.01626556422974,133.63789511752574,144.34926324236238,133.77663934536596,201.98123109237835,156.4885164711535,162.14366300309987,78.77773276848465,78.78199722162582,161.86570841239902,145.4338689787813,145.61463160139303,135.6701082055241,175.75186447169142,132.96237796623205,195.78551281070585,168.5454565071934,145.77541300787553,183.57999300126687,126.8186771969474,162.499320055837,180.90064186375147
WindTamer,134.12354632756936,109.02688604245289,156.76278761169445,165.4117683962518,179.0644750251299,181.95137773600672,208.37104108376775,173.50042453903978,176.34244789942733,169.478458579628,170.89626961723187,152.5293132725445,178.86983557086796,180.39508816299852,184.3273108979224,0.0,32.863966730546245,83.33115040996037,101.59599226248656,129.8908497506494,109.4245203936438,124.01591288161057,168.7453275206274,134.15252522097853,174.4758170645926,179.88172994827377,150.83286395917406,217.48225826876217,145.3665809952203,206.97121963214371,211.22427423619055,168.4282919304196,164.15613993596367,114.0899491214947,129.22228752559698,118.99254991604879,156.64895275289652,182.53790466020047,194.27492449489318
Leviathan,101.63223440156702,100.24331717381747,124.53765768893777,146.99380648195256,146.83934510237322,170.8127152209784,176.1459111610111,178.30154512284608,164.0494679888812,137.25332865687128,138.6711396944752,155.0866743414085,146.64470564811126,148.1699582402418,165.74773673635175,32.863966730546245,0.0,78.5814109655734,69.37086233972991,98.0124952823235,77.6602818625097,144.5836324110617,155.58267985066996,123.57783086202922,142.25068714183587,161.29329043325032,161.22532960751064,221.59705892308472,147.43835715716494,192.67207103948186,200.052539933269,136.20316200766288,132.4341524394957,81.45075830480035,96.99715760284029,87.15009401131124,124.42382283013983,150.31277473744382,162.04979457213653
Enviro Engergies,111.24270733227607,100.27644349773762,146.64504970697013,121.03262330050718,138.38313802307638,155.73468432415746,164.32184912992875,124.85081792169245,150.4680491456894,129.02813803773077,113.6697392815092,153.19267290701666,141.1084914321721,138.94590338303829,159.01626556422974,83.33115040996037,78.5814109655734,0.0,25.378370446704004,113.30521613769092,117.99477020864782,158.97171429094263,122.08597848206172,155.68356779241074,149.1055129863002,168.25084271175203,144.3083527586673,191.6001226449691,154.37767921600877,181.2742722246451,184.77670051821798,122.4804749143997,167.42483606193613,118.45035033801418,119.27411287572,133.6194864448975,106.2964338279473,155.60333799664562,167.45986434141992
Four Seasons,94.75390352642165,104.93415861245421,121.26667926026613,95.65425285380317,113.00476757637239,151.51306640154976,138.94347868322475,130.75133366476445,145.09649659714455,103.6497675910268,89.19100140913845,145.7793488817076,115.73012098546812,113.56753293633429,133.63789511752574,101.59599226248656,69.37086233972991,25.378370446704004,0.0,99.18604712941247,104.29557524229241,168.49180255603488,124.26844627398792,138.9012870000809,123.72714253959619,142.87247226504812,141.90958045338488,186.78374293182037,147.85351780681373,173.88927664404832,180.51811698703045,97.1021044676957,152.1224388422793,104.33118132973571,102.11233903944903,122.52200535394581,83.81341889667573,130.27929560352652,142.19044151368038
Humdinger Wind Belt,63.63838513016739,102.16752441803439,106.57682023128268,95.16575398567292,126.9254414842637,214.7097882416833,158.57607126950313,159.4399256191435,187.51596727868179,116.79812403290848,87.64000570870557,159.13887675453668,106.86999696552357,134.8659018432775,144.34926324236238,129.8908497506494,98.0124952823235,113.30521613769092,99.18604712941247,0.0,50.741084994201806,174.7107408276121,150.04059556968159,119.12299588504904,166.85452010544586,180.99056891414367,194.9907088634291,247.26380767185339,121.71362899090185,208.17411626755057,229.49032641375928,131.68261253193387,105.35972613099968,92.43381639970079,81.72242957849119,95.61650322143579,157.29469515788102,218.97459508500722,236.71575978556157
